database	edge number	parsed edge number
acsn	14090	11947
innatedb	344349	344349
reactome	261155	2248
signor	1234	1234
slk2	1037	1037
slk3	408	107
slk21	458196	2146
tcr	440	440
PSP	2082	2082
PhosphoSite	10266	10266
PTMCode2	10698116	10698116
ComPPI	1522019	1522019
HPRD	39269	39240
IntAct	202915	195143
biogrid	1647024	1647024
OmniPath	26037	26037
miRDeathDB	233	233
miRecords	2345	2349
miR2Disease	805	805
TarBase	506195	506043
starBase	352	352
TFBS	170394	170394
TFBS_Orsi	194744	429901
NPInter	346776	125345
lncRInter	88	89
miRSponge	6497	6465
starbase	419	419
